Player,Country,Date_of_birth,Hand,Total_wins,Wins_percent,AVG_rank,VAR_rank,Clay_wins,Clay_wins_percent,Grass_wins,Grass_wins_percent,Hard_wins,Hard_wins_percent,Carpet_wins,Carpet_wins_percent,International_nmatches,Grand Slam_nmatches,International Gold_nmatches,Masters_nmatches,ATP250_nmatches,ATP500_nmatches,Masters 1000_nmatches,Masters Cup_nmatches,International Gold_nwins,ATP250_nwins,ATP500_nwins,Grand Slam_nwins,International_nwins,Masters_nwins,Masters 1000_nwins,Masters Cup_nwins,flag_url
Pavic A.,CRO,1989-03-07,R,3,23.076923076923077,317.84615384615387,39990.47435897436,0,0,2,33.33333333333333,1,20,0,NA,NA,3,NA,NA,10,NA,NA,NA,0,2,0,1,0,0,0,0,https://flagcdn.com/w320/hr.png
Bossel A.,SUI,1986-12-28,L,0,0,342,7200,0,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://flagcdn.com/w320/ch.png
Salamanca C.,COL,1983-01-15,L,0,0,310,NA,0,0,0,NA,0,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://flagcdn.com/w320/co.png
Estrella Burgos V.,NA,NA,NA,45,43.269230769230774,88.33653846153847,2651.7400112023897,32,58.18181818181818,4,28.57142857142857,9,25.71428571428571,0,NA,NA,20,NA,NA,54,21,9,NA,0,28,9,6,0,0,2,0,https://flagcdn.com/w320/na.png
Barrientos N.,COL,1987-04-24,R,0,0,317.25,888.25,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://flagcdn.com/w320/co.png
Struvay E.,COL,1990-12-17,R,0,0,574.5,113764.5,0,0,0,NA,0,NA,0,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://flagcdn.com/w320/co.png
Gomez E.,ECU,1991-11-28,R,7,26.923076923076923,177.80769230769232,14426.481538461538,2,28.57142857142857,0,NA,5,26.31578947368421,0,NA,NA,2,NA,NA,15,5,4,NA,0,5,1,0,0,0,1,0,https://flagcdn.com/w320/ec.png
King K.,USA,1991-02-28,L,1,14.285714285714285,375.2857142857143,41674.57142857143,0,0,0,0,1,20,0,NA,NA,1,NA,NA,6,NA,NA,NA,0,1,0,0,0,0,0,0,https://flagcdn.com/w320/us.png
Harrison C.,USA,1994-05-29,R,6,42.857142857142854,313.7142857142857,17182.373626373625,0,0,2,50,4,44.44444444444444,0,NA,NA,3,NA,NA,9,NA,2,NA,0,5,0,1,0,0,0,0,https://flagcdn.com/w320/us.png
Topic J.,CRO,1983-12-08,NA,0,0,605,NA,0,0,0,NA,0,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://flagcdn.com/w320/hr.png
